pub_year,topic_field_display_name,num_publications,cross_collaboration_metric,authors
1926,Dentistry,1,1.0,10
1926,Earth and Planetary Sciences,5,0.6,52
1926,"Economics, Econometrics and Finance",10,0.75,85
1926,Energy,1,0.0,0
1926,Engineering,13,0.6428571428571429,213
1926,Environmental Science,7,0.5714285714285714,93
1926,Health Professions,4,1.0,117
1926,Immunology and Microbiology,1,1.0,13
1926,Materials Science,4,0.5,11
1926,Mathematics,2,1.0,65
1926,Medicine,30,0.8333333333333334,588
1926,Neuroscience,1,0.0,0
1926,"Pharmacology, Toxicology and Pharmaceutics",2,0.0,0
1926,Physics and Astronomy,3,0.5,86
1926,Psychology,6,0.42857142857142855,61
1926,Social Sciences,38,0.8780487804878049,563
1927,Agricultural and Biological Sciences,14,0.9444444444444444,268
1927,Arts and Humanities,32,0.9318181818181818,771
1927,"Biochemistry, Genetics and Molecular Biology",7,0.7142857142857143,103
1927,"Business, Management and Accounting",4,0.5,71
1927,Chemical Engineering,2,0.3333333333333333,87
1927,Chemistry,7,0.9,73
1927,Computer Science,3,0.3333333333333333,38
1927,Decision Sciences,3,0.5,8
1927,Dentistry,1,0.0,0
1927,"Economics, Econometrics and Finance",4,1.0,89
1927,Engineering,7,1.0,228
1927,Environmental Science,6,0.7142857142857143,100
1927,Health Professions,13,0.375,122
1927,Immunology and Microbiology,2,0.5,14
1927,Materials Science,1,1.0,12
1927,Mathematics,6,0.8333333333333334,70
1927,Medicine,32,0.9459459459459459,627
1927,Neuroscience,3,0.0,0
1927,Nursing,1,0.0,0
1927,"Pharmacology, Toxicology and Pharmaceutics",1,0.0,0
1927,Physics and Astronomy,5,0.4,88
1927,Psychology,4,1.0,66
1927,Social Sciences,38,0.6744186046511628,591
1928,Agricultural and Biological Sciences,6,0.875,277
1928,Arts and Humanities,36,0.9130434782608695,815
1928,"Biochemistry, Genetics and Molecular Biology",8,0.75,111
1928,"Business, Management and Accounting",4,1.0,78
1928,Chemistry,3,1.0,78
1928,Earth and Planetary Sciences,5,0.8,60
1928,"Economics, Econometrics and Finance",4,0.6,92
1928,Engineering,11,0.5625,238
1928,Environmental Science,7,1.0,108
1928,Health Professions,3,0.6666666666666666,125
1928,Immunology and Microbiology,1,1.0,15
1928,Materials Science,2,0.5,13
1928,Mathematics,6,0.8333333333333334,75
1928,Medicine,39,0.926829268292683,665
1928,Neuroscience,2,1.0,17
1928,Nursing,1,0.0,0
1928,Physics and Astronomy,7,0.8571428571428571,94
1928,Psychology,3,0.6666666666666666,69
1928,Social Sciences,49,0.8,635
1929,Agricultural and Biological Sciences,10,1.0,293
1929,Arts and Humanities,32,0.8484848484848485,851
1929,"Biochemistry, Genetics and Molecular Biology",9,0.8333333333333334,124
1929,"Business, Management and Accounting",3,1.0,84
1929,Chemical Engineering,1,1.0,90
1929,Chemistry,5,1.0,85
1929,Computer Science,2,0.6666666666666666,43
1929,Dentistry,1,1.0,0
1929,Earth and Planetary Sciences,4,0.6,63
1929,"Economics, Econometrics and Finance",5,0.7,99
1929,Engineering,10,0.9166666666666666,249
1929,Environmental Science,4,0.6,112
1929,Health Professions,10,0.9333333333333333,142
1929,Immunology and Microbiology,2,0.0,0
1929,Materials Science,4,0.8,17
1929,Mathematics,7,0.5714285714285714,81
1929,Medicine,40,0.7272727272727273,701
1929,Neuroscience,2,0.5,18
1929,Nursing,3,0.3333333333333333,14
1929,Physics and Astronomy,4,1.0,99
1929,Psychology,6,0.8571428571428571,74
1929,Social Sciences,37,0.9444444444444444,688
1930,Agricultural and Biological Sciences,15,0.8235294117647058,313
1930,Arts and Humanities,44,0.9,907
1930,"Biochemistry, Genetics and Molecular Biology",7,0.6666666666666666,133
1930,"Business, Management and Accounting",4,1.0,89
1930,Chemistry,8,1.0,96
1930,Computer Science,5,0.6,49
1930,Decision Sciences,1,1.0,9
1930,Earth and Planetary Sciences,4,0.4,64
1930,"Economics, Econometrics and Finance",4,0.75,102
1930,Energy,1,1.0,24
1930,Engineering,15,0.8421052631578947,266
1930,Environmental Science,4,0.5,117
1930,Health Professions,6,0.9285714285714286,156
1930,Immunology and Microbiology,1,1.0,16
1930,Materials Science,2,0.5,18
1930,Mathematics,9,0.9090909090909091,92
1930,Medicine,32,0.9210526315789473,737
1930,Neuroscience,5,0.6,22
1930,Nursing,2,0.5,15
1930,"Pharmacology, Toxicology and Pharmaceutics",1,1.0,4
1930,Physics and Astronomy,6,0.7142857142857143,104
1930,Psychology,4,0.5,77
1930,Social Sciences,36,0.6818181818181818,721
1930,Veterinary,1,1.0,2
1931,Agricultural and Biological Sciences,15,0.8888888888888888,332
1931,Arts and Humanities,25,0.8148148148148148,940
1931,"Biochemistry, Genetics and Molecular Biology",8,0.6,141
1931,"Business, Management and Accounting",6,1.0,100
1931,Chemistry,6,0.75,103
1931,Computer Science,1,1.0,50
1931,Decision Sciences,2,1.0,11
1931,Earth and Planetary Sciences,2,0.0,0
1931,"Economics, Econometrics and Finance",3,1.0,108
1931,Engineering,10,0.9,283
1931,Environmental Science,7,0.8571428571428571,125
1931,Health Professions,9,0.6666666666666666,169
1931,Immunology and Microbiology,1,1.0,17
1931,Materials Science,4,0.3333333333333333,20
1931,Mathematics,3,1.0,95
1931,Medicine,26,0.9545454545454546,777
1931,Neuroscience,3,0.6666666666666666,24
1931,Nursing,2,0.0,0
1931,"Pharmacology, Toxicology and Pharmaceutics",1,1.0,5
1931,Physics and Astronomy,4,1.0,110
1931,Social Sciences,43,0.5645161290322581,758
1932,Agricultural and Biological Sciences,15,0.8260869565217391,355
1932,Arts and Humanities,34,0.9285714285714286,986
1932,"Biochemistry, Genetics and Molecular Biology",11,0.5384615384615384,151
1932,"Business, Management and Accounting",3,0.6666666666666666,105
1932,Chemical Engineering,2,1.0,97
1932,Chemistry,5,1.0,107
1932,Computer Science,1,1.0,51
1932,Decision Sciences,1,1.0,12
1932,Dentistry,1,1.0,11
1932,Earth and Planetary Sciences,4,0.6,69
1932,"Economics, Econometrics and Finance",5,0.6,111
1932,Engineering,19,0.8846153846153846,309
1932,Environmental Science,10,0.7272727272727273,136
1932,Health Professions,4,0.75,174
1932,Immunology and Microbiology,2,1.0,19
1932,Materials Science,4,0.4,22
1932,Mathematics,9,0.7,103
1932,Medicine,34,0.8947368421052632,812
1932,Neuroscience,2,0.5,25
1932,Nursing,3,0.3333333333333333,16
1932,Physics and Astronomy,4,0.75,113
1932,Psychology,8,0.5,83
1932,Social Sciences,42,0.6744186046511628,788
1932,Veterinary,1,1.0,3
1933,Agricultural and Biological Sciences,20,0.9285714285714286,385
1933,Arts and Humanities,29,0.8205128205128205,1024
1933,"Biochemistry, Genetics and Molecular Biology",7,0.8181818181818182,162
1933,"Business, Management and Accounting",4,1.0,111
1933,Chemical Engineering,3,0.4,103
1933,Chemistry,6,0.7,116
1933,Computer Science,7,1.0,62
1933,Decision Sciences,1,1.0,13
1933,Dentistry,1,1.0,15
1933,Earth and Planetary Sciences,2,1.0,74
1933,"Economics, Econometrics and Finance",4,1.0,116
1933,Engineering,18,0.625,326
1933,Environmental Science,11,0.8461538461538461,148
1933,Health Professions,5,0.3333333333333333,177
1933,Immunology and Microbiology,3,0.5,21
1933,Materials Science,3,0.75,27
1933,Mathematics,6,1.0,109
1933,Medicine,24,0.8076923076923077,835
